marca_id,marca,antiss,AV,BA,BC,DRML,dresc,DI,EEG,EC,ES,FAFP,HTID,LADON,LSR,RE,RP,SBF,SS,SMB,UA,ACA_01,AV_01,BC_01,CH_01,CTE_01,DM_01,discrim_01,ETL_01,EEG_01,EC_01,ES_01,FF_01,HI_01,LDN_01,SR_01,MEM_01,PHE_01,RR_01,RRP_01,SBF_01,SS_01,subc_01,TC_01,TEC_01,TI_01,usoAgua_01,ACA_02,AV_02,BA,BC_02,CH_02,CTE_02,DM_02,discrim_02,DI,ELT_02,EEG_02,EC_02,ES_02,FF_02,HI_02,LDN_02,SR_02,SRR,MEM_02,PHE_02,RR_02,RRP_02,SBF_02,SS_02,SMB,subc_02,TC_02,TEC_02,TI_02,usuAgua_02
1,Adidas,"0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25",0,0,"0,25","0,25","0,25",0,0,"0,25","0,25","0,25",0,0.25,"0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5"
2,Animale,"0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25",0,0,"0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25",0,"0,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5","0,5",0,"0,5",0,"0,5","0,5","0,5","0,5",0,0,"0,5",0,"0,5","0,5","0,5",0,0,0,0,0,"0,5","0,5",0,"0,5",0,0,0,"0,5",0
3,Aramis,0,"0,25",0,0,"0,25","0,25","0,25",0,0,0,"0,25","0,25","0,25",0,0,0,"0,25",0,0,0,0.25,0,0,0,0,0,"0,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,25","0,25",0,"0,5","0,5",0,0,0,"0,5","0,5","0,5","0,5",0,"0,5","0,5",0,0,0,0,0,0,0,0,0,0,0,"0,5","0,5",0,0,0,0,"0,5"
4,Arezzo,"0,25","0,25",0,"0,25",0,"0,25","0,25","0,25","0,25",0,0,0,"0,25","0,25","0,25","0,25",0,"0,25","0,25",0,0.25,"0,25","0,25",0,0,0,"0,25",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,25",0,0,"0,25","0,25",0,"0,5",0,"0,5","0,5",0,0,"0,5","0,5","0,5",0,"0,5","0,5",0,0,0,0,0,0,0,0,"0,5","0,5",0,"0,5","0,5",0,0,0,"0,5",0
5,Besni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Brooksfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,C&A,"0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0.25,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5"
8,Caedu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Carmen Steffens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Centauro,"0,25","0,25",0,0,0,"0,25",0,0,0,0,0,0,"0,25",0,0,0,"0,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,25","0,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Cia. Marítima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Colcci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Dafiti,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25",0,0,"0,25",0,"0,25",0.25,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,5",0,"0,5","0,5","0,5",0,0,"0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5","0,5",0,0,0,"0,5"
14,Dakota ,"0,25","0,25",0,"0,25",0,"0,25",0,0,"0,25",0,0,0,"0,25",0,0,0,"0,25","0,25",0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Decathlon,"0,25",0,"0,25","0,25",0,0,0,"0,25","0,25",0,"0,25",0,0,"0,25","0,25",0,"0,25","0,25","0,25",0,0.25,"0,25",0,"0,25","0,25",0,"0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25",0,0,"0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,5",0,"0,5","0,5","0,5",0,0,0,"0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5","0,5","0,5",0,0,"0,5",0,0
16,DeMillus,0,0,0,0,0,0,"0,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5","0,5",0,0,0,0,0,0,0,0,"0,5","0,5",0,0,"0,5",0,0,0,0,"0,5"
17,Di Santinni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Dumond,"0,25","0,25",0,0,0,"0,25","0,25",0,0,0,0,0,"0,25",0,0,0,0,"0,25",0,0,0.25,"0,25",0,0,0,0,"0,25",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,25",0,0,"0,25","0,25",0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5",0
19,Ellus,"0,25","0,25",0,0,0,"0,25",0,0,0,0,0,0,"0,25",0,"0,25",0,0,0,0,0,0.25,"0,25",0,"0,25",0,0,"0,25",0,0,0,0,0,"0,25","0,25",0,"0,25","0,25",0,0,"0,25","0,25",0,0,"0,25","0,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0
20,Farm,"0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25",0,0,"0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25",0,"0,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5","0,5",0,"0,5",0,"0,5","0,5","0,5","0,5",0,"0,5","0,5",0,"0,5",0,"0,5",0,0,0,0,0,"0,5","0,5",0,"0,5",0,0,0,"0,5",0
21,Fórum ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Havaianas,"0,25","0,25",0,"0,25","0,25","0,25",0,0,"0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,0,0.25,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,5","0,5",0,"0,5",0,0,0,"0,5","0,5","0,5","0,5","0,5",0,"0,5",0,"0,5","0,5","0,5",0,0,0,"0,5","0,5","0,5",0,0,0,0,"0,5","0,5"
23,Hering,"0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25",0,0,"0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,0,"0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25",0,0,0,"0,5",0,"0,5","0,5",0,"0,5","0,5","0,5","0,5","0,5","0,5","0,5",0,0,"0,5",0,"0,5","0,5","0,5","0,5","0,5","0,5",0,0,0,"0,5","0,5"
24,Hope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,"0,5",0,0,"0,5","0,5",0,0,0,0,0
25,Ipanema,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25",0.25,"0,25",0,0,0,0,"0,25","0,25","0,25","0,25",0,0,"0,25","0,25","0,25",0,0,"0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,5","0,5","0,5","0,5",0,"0,5",0,"0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5",0,"0,5","0,5",0,"0,5","0,5","0,5","0,5","0,5",0,0,0,0,0,"0,5"
26,John John,"0,25","0,25",0,0,"0,25","0,25",0,0,0,"0,25","0,25","0,25","0,25",0,"0,25",0,"0,25","0,25",0,0,0.25,"0,25",0,"0,25","0,25",0,"0,25","0,25",0,0,"0,25",0,0,"0,25",0,0,0,0,0,0,"0,25","0,25",0,"0,25","0,25",0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,"0,5","0,5",0,"0,5",0,0,0,0,"0,5",0
27,Kyly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Le Lis Blanc,"0,25","0,25",0,0,"0,25","0,25",0,0,0,"0,25","0,25","0,25","0,25",0,"0,25",0,"0,25","0,25",0,0,0.25,"0,25",0,"0,25","0,25",0,"0,25","0,25",0,0,"0,25",0,0,"0,25",0,0,0,0,0,0,"0,25","0,25",0,"0,25","0,25",0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,"0,5","0,5",0,"0,5",0,0,0,0,"0,5",0
29,Leader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Lojas Avenida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Lojas Pompéia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Lupo,"0,25",0,"0,25",0,"0,25",0,0,0,"0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25",0,0,0.25,0,0,"0,25","0,25","0,25",0,"0,25",0,"0,25",0,"0,25","0,25","0,25",0,0,"0,25",0,0,0,"0,25","0,25",0,"0,25","0,25",0,0,0,0,"0,5",0,"0,5","0,5",0,0,"0,5","0,5","0,5",0,"0,5","0,5",0,0,"0,5",0,"0,5","0,5","0,5","0,5","0,5","0,5",0,0,0,0,"0,5"
33,Malwee,"0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,0.25,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,5","0,5","0,5","0,5","0,5","0,5",0,0,"0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5","0,5","0,5","0,5","0,5",0,0,"0,5","0,5"
34,Marisa,"0,25","0,25",0,0,0,"0,25",0,0,"0,25",0,0,0,0,"0,25",0,0,0,"0,25",0,0,0.25,"0,25",0,"0,25","0,25","0,25","0,25","0,25",0,0,0,"0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25",0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,"0,5","0,5"
35,Marisol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Melissa,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25",0.25,"0,25",0,0,0,0,"0,25","0,25","0,25","0,25",0,0,"0,25","0,25","0,25",0,0,"0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,5","0,5","0,5","0,5",0,"0,5",0,"0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5",0,"0,5","0,5",0,"0,5","0,5","0,5","0,5","0,5",0,0,0,0,0,"0,5"
37,Moleca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Netshoes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,"0,25",0,0,0,"0,25",0,0,0,0,0,0,"0,25",0,0,0,0,0,0,0,0,0,"0,25","0,25",0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Nike ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Olympikus,0,"0,25",0,0,0,"0,25","0,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5","0,5","0,5",0,0,0,"0,5",0,0,0,0,"0,5","0,5",0,"0,5",0,0,0,0,"0,5","0,5"
41,Osklen,"0,25","0,25",0,"0,25","0,25","0,25",0,0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,0.25,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,5","0,5",0,"0,5",0,0,0,"0,5","0,5","0,5","0,5","0,5",0,"0,5",0,"0,5","0,5","0,5",0,"0,5","0,5","0,5","0,5","0,5","0,5",0,0,0,"0,5","0,5"
42,Pernambucanas,"0,25","0,25",0,0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25",0.25,"0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25",0,"0,25","0,25",0,"0,25","0,25","0,25","0,5","0,5",0,0,"0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5","0,5",0,0,"0,5",0,0,0,"0,5","0,5","0,5"
43,Puket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0
44,Renner,"0,25","0,25",0,"0,25",0,"0,25","0,25","0,25","0,25",0,0,0,"0,25","0,25","0,25","0,25",0,"0,25",0,"0,25",0.25,"0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,0,"0,25","0,25","0,25","0,5","0,5","0,5","0,5",0,0,"0,5","0,5","0,5","0,5","0,5","0,5","0,5",0,0,0,"0,5","0,5","0,5",0,"0,5","0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5"
45,Riachuelo,"0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,0,0,"0,25","0,25","0,25","0,25",0.25,"0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,"0,5","0,5",0,"0,5",0,"0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5",0,"0,5",0,0,"0,5",0,"0,5","0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5"
46,Sawary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,TNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Torra,"0,25","0,25",0,"0,25",0,"0,25",0,"0,25","0,25",0,0,0,0,0,"0,25",0,"0,25",0,0,"0,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Youcom,"0,25","0,25",0,"0,25",0,"0,25","0,25","0,25","0,25",0,0,0,"0,25","0,25","0,25","0,25",0,"0,25",0,"0,25",0.25,"0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,0,"0,25","0,25","0,25","0,5","0,5","0,5","0,5",0,0,"0,5","0,5","0,5","0,5","0,5","0,5","0,5",0,0,0,"0,5","0,5","0,5",0,"0,5","0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5"
50,Zara,"0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25",0.25,"0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5"